SUBJECT,SEX,AGE,HEIGHT,WEIGHT,AG_R,AG_L,CG_R,CG_L,HB_R,HB_L,FB_R,FB_L,CS_R(mm),CS_L(mm),TS_R(mm),TS_L(mm),SBS_R(mm),SBS_L(mm),SPS_R(mm),SPS_L(mm),SOMATOTYPE
112,M,22,185,95.1,34.5,33.8,40.9,41.7,6.9,6.7,10.7,10.8,11,9.8,13,12,23.4,24.6,21.2,22.8,Mesomorphic endomorph
113,M,22,173.1,72.3,32,33.3,36.7,36.5,6.8,6.8,9.7,9.6,6,5.8,11.2,11.6,10.4,10.4,10.4,11.4,Endomorphic mesomorph
114,M,21,179.4,79.9,34.4,34,38.8,39.3,6.5,6.5,9.9,10,7,7,8.2,8,9.6,9.4,8,9,Balanced mesomorph
115,M,20,186.1,75.6,31.6,30,37.5,37.9,7.1,6.9,10.1,10.2,4.8,5,4.8,4.8,6.8,6.8,4.2,5.6,Mesomorph-ectomorph
116,M,,182.5,74.7,32.5,31.2,39.6,39.6,6.9,6.8,9.9,9.9,4,5,6.2,5,9,8.4,5.4,6.4,Ectomorphic mesomorph
117,M,,186.7,86.6,34.2,32.5,39.8,40.5,7,6.8,10.5,10.4,5.4,5.6,11.6,11,9.2,9.8,8.4,8.6,Balanced mesomorph
118,M,19,172,60.8,31,30.3,33.5,33,6.5,6.4,9.4,9.4,8,8.2,12.2,11.8,10.4,10.4,8.2,9,Central
119,M,18,186.2,79.7,33.6,33.8,38.4,38.5,7,7,10,10,8.4,9.6,13.8,13,11,11.8,9.2,10.6,Central
120,M,20,187.2,78.9,32,32,37.7,37.2,7,7.1,10.4,10.4,6.5,7.2,8.8,6.3,10.4,10.2,5.2,5,Mesomorph-ectomorph
121,M,21,190.4,81.9,34.3,33.5,37.5,38.1,6.8,7,9.2,9.5,6.5,7.4,9.2,9,14.6,13,9.6,9.8,Central
122,M,20,191.2,93.6,37.3,36.3,38.2,37,7.5,7.6,9.9,9.9,7.2,7.6,10.2,10.2,18,17.6,14,16,Mesomorph-endomorph
123,M,24,165.5,58.9,32.2,31,34.1,34.3,6.7,6.8,9.7,9.8,6.6,6.8,12.2,12.2,12.6,12.6,7.6,8,Balanced mesomorph
124,M,19,180,70.4,31.5,31.5,35.8,35.5,6.5,6.4,9.6,9.6,9.2,10.8,15.8,15.8,10.8,10.4,10.4,13.4,Endomorph-ectomorph
125,M,18,177.8,71.4,30.8,30,38.7,39.3,6.5,6.7,9.8,10,8.2,9,11.2,11,9,9.4,7.2,7.2,Balanced mesomorph
126,M,21,182.8,81.8,31.7,32.5,39,39.7,6.5,6.4,9.4,9.5,9.2,9.4,13.8,14,12.8,12.6,10.4,13.6,Mesomorphic endomorph
127,M,20,187.4,75.6,31.5,32.5,38.5,38.5,6.7,6.7,10.1,10,9.4,8.8,9.6,9.4,8.6,8.6,5.4,6.4,Mesomorphic ectomorph
128,M,21,188.7,92.7,36.7,36.7,40.5,41.5,7.2,7.3,10.7,10.7,12,11.4,14.4,13.4,14.4,12.4,13.6,13.6,Endomorphic mesomorph
129,M,23,194.3,80.7,32.5,31.2,37.5,36.5,6.6,6.5,9.8,9.8,5,5.4,6.2,6,9,9.2,5.8,5.8,Balanced ectomorph
130,M,20,186.5,82,32.7,32.7,40.3,40.3,10.3,10.2,6.5,6.7,6.8,8.2,11.4,10,9,9.8,5.4,6.2,Balanced mesomorph
131,M,21,187.7,81.1,32.5,34,37,37,10,10,6.6,6.8,6.8,5.8,11.2,8.8,10.8,11.6,8.2,8.8,Central
132,M,18,182.1,85.8,33.3,32.5,40.1,39.8,10.6,10.5,6.7,6.7,9,10.4,9.4,9.4,13.2,12.4,11.2,11.8,Endomorphic mesomorph
133,M,23,184.1,76.7,33.5,32.3,37.4,38,10,10,6.7,7,7,7.4,10.6,11.2,8.4,9.2,7.2,7.6,Balanced mesomorph
134,M,23,190.4,85.7,33.5,33.7,39.3,40.9,10.5,10.3,7,7,4,3.8,5.2,5,7.4,7.8,4,4,Ectomorphic mesomorph
135,M,21,197.2,96.1,34.5,34.3,40,39.7,10.3,10.4,6.8,7,10.8,11.2,14.6,15,10,10.6,9,9.2,Central
136,M,22,180,78.2,32.8,32.3,35.5,35.7,10.4,10.8,7,7,9.2,7.8,9,7.8,10.6,10,6.2,6.2,Balanced mesomorph
137,M,20,191.4,87.3,34.2,33.3,38.3,38.5,11.2,11,7.4,7.5,8.2,10,10.2,10.2,9,10.4,7.4,8,Balanced mesomorph
138,M,21,191.7,80.1,34.8,35,38.2,38.3,10.2,10.3,6.7,7,8.2,8.8,10.8,9.2,15.6,15.8,16.6,16.8,Central
139,M,20,176,81.1,34.5,32.3,36.5,37,9.7,9.5,6.5,6.5,5.4,5.6,7.4,8.2,8,8.2,5,5,Balanced mesomorph
140,M,22,196.7,86.3,34,34.5,37,36.8,10.1,10.4,6.5,6.8,5.8,6.8,9.6,8,8.8,9.2,5.4,5.8,Mesomorphic ectomorph
