SUBJECT,SEX,AGE,HEIGHT,WEIGHT,AG_R,AG_L,CG_R,CG_L,HB_R,HB_L,FB_R,FB_L,CS_R(mm),CS_L(mm),TS_R(mm),TS_L(mm),SBS_R(mm),SBS_L(mm),SPS_R(mm),SPS_L(mm),SOMATOTYPE
33,M,19,186,85.5,33.5,33.2,40.5,39.4,6.6,6.5,9.9,9.9,6.6,6.8,11.8,10.4,10.6,11.6,9,9,Central
34,M,21,184.4,78.8,30.2,32.3,38.3,38.9,6.6,6.5,9.9,9.8,4.6,4.8,7.4,6.2,10,11.4,5.2,5,Central
35,M,20,171.5,100.4,40.1,40.1,44.2,44.5,6.9,7,10.7,10.7,10.5,13,19.4,16,30.2,30,27.4,30.4,Mesomorph-endomorph
36,M,20,181,82.4,37.8,37,38.7,38.8,6.5,6.5,9.7,9.7,7.2,8,12,11.2,8.6,9.2,10.3,8.8,Endomorphic mesomorph
37,M,19,184.5,118.7,40.5,39.5,46.3,47,7.5,7.3,10.5,10.7,18.6,22.2,18.4,17.8,34.4,31.2,39.2,37.2,Mesomorphic endomorph
38,M,19,171.2,73,33.8,34.2,37.3,37.3,6.3,6.3,9.6,9.6,6,7.2,9.8,8.6,15.2,16.6,11,11.6,Endomorphic mesomorph
39,M,19,181,118.3,40.5,40.3,45.7,46.1,7,7.1,11,10.5,11.4,14.4,21.4,23,34,34,29,28.8,Mesomorphic endomorph
40,M,18,180.4,81.2,37,35.8,39.1,39.5,6.8,6.9,9,9,7.8,7.4,11.2,10,13.2,14.6,8.8,8.2,Endomorphic mesomorph
41,M,20,178,77.6,35.5,35,39.5,39.5,7.2,7.1,10.6,10.6,9.2,9.6,13.4,13.4,16,17,14.4,14.6,Endomorphic mesomorph
42,M,19,181,78,36.8,36.2,38.5,38.5,6.6,6.6,9.9,9.7,7,6.8,8,7.4,9.4,9.4,9.4,4.8,Balanced mesomorph
43,M,18,176,114.7,41,40.2,46.6,46.2,7.7,7.4,12.6,12.5,22.6,25.6,25,24.6,27.2,26.6,32.6,33.8,Mesomorph-endomorph
44,M,20,180.2,92.4,39,38.3,38.8,38.8,6.7,6.7,9.9,9.8,10.4,10.4,11.4,9.2,24.8,23,19,17.2,Mesomorph-endomorph
45,M,19,176,84,37,37,37.6,38.5,6.6,6.3,9.9,10,12.2,11.4,14.4,13.2,17.6,17.2,14.2,15,Mesomorph-endomorph
46,M,19,182,91,37.2,37.5,40.3,39.8,6.7,6.7,10.5,10.7,7.4,8,9.2,9.6,20,18,17.6,15.6,Endomorphic mesomorph
47,M,22,181,108.65,40.8,41,42.2,42.2,6.5,6.5,10.5,10.5,9,9.8,18.6,17,30,30.8,30.4,33.6,Mesomorphic endomorph
48,M,22,172,74.1,34.2,34.2,39.2,40,6.4,6.4,9.4,9.8,4.8,5.6,7,7.8,13.2,14.4,10,10.2,Endomorphic mesomorph
49,M,21,174,76.5,37,35.5,37.5,37,6.3,6.3,9.5,9.5,7.4,9.2,11.2,11.2,14.2,13.8,7,6.8,Endomorphic mesomorph
50,M,22,193,107,38.6,36,43.9,44,6.4,6.5,10.4,10.4,14,13.6,16.4,14.4,19.4,17.4,22.6,20.6,Mesomorphic endomorph
51,M,21,192,124.95,42.5,41.2,45,45.5,7.4,7.4,11.1,11.1,15.6,16.4,20.6,20.6,24.4,25.4,30,28,Mesomorphic endomorph
52,M,21,188.3,106.3,39.5,40.5,41.8,42.4,7,7.1,10.4,10.5,9.2,11.2,10.8,12,21,24.6,25,28.8,Mesomorph-endomorph
53,M,23,176.3,81.5,37.3,36.2,38.2,39,6.5,6.3,9.9,9.8,8,8.6,10,9.4,16.6,14.2,10.2,9.4,Endomorphic mesomorph
54,M,23,182,114.5,41.2,40,46.7,47.5,7,7.1,10.9,11,22,21.4,26.6,26.4,31.6,32.2,29,26,Mesomorphic endomorph
55,M,21,170,74,35.2,35.2,38,38,6.6,6.7,9.5,9.6,10.2,9.6,11.4,10.2,13.2,13.2,10,9.4,Endomorphic mesomorph
56,M,21,175,72,32.1,32,34.7,35.5,6.5,6.6,9.6,9.7,11.4,8.8,11.4,10.8,13.8,13.3,12,10.4,Mesomorph-endomorph
57,M,20,164,59,34,33.5,33.5,32.8,6.5,6.4,8.6,8.8,4.2,4.2,6.6,5.8,8.6,9.2,5.6,5,Balanced mesomorph
58,M,23,166.7,64.1,32.8,32,36,36.6,6,6,9,9,7.8,7.8,13.4,11.4,11.6,11,8.4,8.6,Endomorphic mesomorph
59,M,25,183.6,82.7,35.8,35.6,38.4,38.5,6.6,6.5,9.6,9.8,4.6,5.4,7.6,6.4,10.6,10.4,7.4,7.6,Balanced mesomorph
60,M,24,182.9,90.2,35,34.9,42.2,42.6,6.6,6.6,10.3,10.1,9.2,9.2,21.2,19.8,24,23.9,25,23,Mesomorphic endomorph
61,M,25,173.9,85.1,34.5,32.7,40.3,40.5,6.6,6.5,10.4,10.2,7.4,8.6,11.4,13.4,18.4,19,18.2,19.2,Mesomorph-endomorph
62,M,27,182.4,81.9,35,34.7,38.9,37.8,6.2,6.2,10,10.1,11.2,12.2,14.4,11.6,18,17.4,14.8,14.6,Mesomorphic endomorph
63,M,31,177.3,85.4,35,33.9,40,40.3,6.5,6.4,10.2,10.1,7.6,9.6,14.4,13.4,20.4,18.2,16,15.4,Mesomorph-endomorph
64,M,27,177.3,76.1,33,33.2,38.5,38.7,6.5,6.5,10,10.1,7.6,8,13.6,13.4,12.4,12.6,9.5,7.4,Endomorphic mesomorph
65,M,23,172.2,73.6,33.9,33.3,40.8,40.3,6.6,6.5,10,9.7,5.6,5.6,6.4,7,12.8,12.6,9.4,7.8,Endomorphic mesomorph
66,M,22,179.4,65.5,27.5,26.8,36.9,37.3,6.2,6.3,9.7,9.6,10.4,8.8,13.8,13.6,12.2,12.8,8.2,8.6,Endomorph-ectomorph
67,M,27,175.7,71.4,30.5,31,36.6,37.3,6.4,6.3,9.5,9.2,5.6,6,7,7.2,10.8,11.2,7.6,7,Balanced mesomorph
68,M,24,181.1,89.3,36.8,37.2,41.2,41.3,7,7,10.8,11,9.6,12,13,11.6,12.2,11.6,9.6,9.8,Endomorphic mesomorph
69,M,26,174.5,72.6,31.2,31.2,38,39,7,7.1,9.8,10,8.6,7.6,13.4,13,13.2,14.8,8,8.4,Endomorphic mesomorph
70,M,22,177,98.6,35.2,34.7,43.6,43.5,6.5,6.6,10.7,10.8,12.4,11.6,14,13.6,18.6,19.4,26.4,28,Mesomorph-endomorph
71,M,23,175.5,78.5,33.8,34.3,38.6,39.2,6.5,6.6,10.5,10.6,8.2,9.2,15.6,12,18.4,19.2,16,15.8,Mesomorph-endomorph
72,M,24,182.7,88.6,37,36.5,39.5,41.2,7,7.1,9.8,10,11.4,11.8,18,15.8,17,17.8,14,14.8,Mesomorph-endomorph
73,M,25,181.3,75.8,30.2,30.5,36.2,37.2,6.3,6.5,9.9,10,5.4,5.6,10.2,9.6,13.6,15.4,8,8.4,Central
74,M,26,169,85.7,36.8,36.8,40,40.1,6.8,6.8,10.2,10.3,8,8.6,17.2,17.2,19.8,21,20.6,17.4,Endomorphic mesomorph
